id,prompt,formula,predicted_formation_energy_eV_per_atom
OQMD_1716571__1__p2s1,2,Cl1F4Gd1Ge1Hf1,-3.210432529449463
NOMAD_RcANIGQFDrLcBOL0ET3Q8uyPlKfS__1__p2s1,2,Cl1F4Mo1Zr1,-2.8289718627929688
OQMD_881712__1__p2s0,2,Cs2F4Li1Na1Sc1,-2.825792074203491
OQMD_21597__1__p2s1,2,Ge1Na1Nd1O6Sc1W1,-2.6930274963378906
NOMAD__msm3mElqzA9ACGLEizp2XoL6a1M__1__p2s1,2,F2Fe1La1P1Pr1,-2.4628922939300537
OQMD_1273066__1__p2s1,2,F2O2Sr1Te1W1,-2.3989930152893066
NOMAD_kAbq-8iXpjjmTLRsrpbZ6-e9pWP2__1__p2s0,2,F3Gd1N1Pb1W1Zr1,-2.2704153060913086
NOMAD_M5vTyBBxJlAQqNFCM_DIcsDQnQd8__1__p2s1,2,Be1Er1F4Pr1Ti1W1,-2.249732494354248
MP_mp-1193874__1__p2s0,2,Br1Ge1O3Te1U1,-2.152949333190918
OQMD_690787__1__p2s0,2,Co1O3Sb1Y1,-2.122162103652954
NOMAD_2HCCYYDPoUoogXJ0TRvikHtVu5sc__1__p2s1,2,Cl1F4Ga1Ge1H1K1Re1Zr1,-2.0816831588745117
NOMAD_jIobA0XTagqyTmnKRfqNM-owYEwL__1__p2s1,2,Cl1F1H1Np1Tb1Te1,-2.050062417984009
OQMD_474448__1__p2s0,2,Er1F2Nb1Pr1S2Sb1Ta1,-1.97901451587677
OQMD_496798__1__p2s1,2,Dy1F2Ge1Hg1I1Sc1Y1,-1.9781513214111328
MP_mp-1192306__1__p2s0,2,F1K1Pd1Pr1Rb1S3U1,-1.9270269870758057
NOMAD_xUOJho7MX1SJejjrTEAGNKe2eHy6__1__p2s0,2,Cu1F3N1Nd1Te1W1Zr1,-1.8717281818389893
NOMAD_-517WIqw8WxFytRnJmbUgrKXkXmC__1__p2s0,2,Be2Ca1F2Pr1Te1Zr1,-1.8537942171096802
NOMAD_IrNPjnfL4NTdvSV8L0ZKyyVkNEYl__1__p2s0,2,Bi1Cl1F2Fe1Ge1La1Li1Pr1,-1.82459557056427
OQMD_362319__1__p2s1,2,Al1B1F2Hf1Sc1Te1Y1,-1.7620911598205566
OQMD_569801__1__p2s1,2,Br1F2Ge1La1Na1Si1Sm1Zr1,-1.748818039894104
