index,material_id,energy_above_hull,band_gap,cif,composition,volume,density,atomic_density,crystal_system,space_group_symbol,space_group_number,created_at,created_at_datetime
28947,mp-1105180,0.0,0.7681999999999991,"# generated using pymatgen
data_Sr2Sb2Se3O2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.70021000
_cell_length_b   4.05857800
_cell_length_c   13.61676849
_cell_angle_alpha   90.00000000
_cell_angle_beta   124.05226627
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sr2Sb2Se3O2
_chemical_formula_sum   'Sr4 Sb4 Se6 O4'
_cell_volume   444.15628960
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.10781300  0.48575600  0.39816600  1
  Sr  Sr1  1  0.89218700  0.98575600  0.10183400  1
  Sr  Sr2  1  0.89218700  0.51424400  0.60183400  1
  Sr  Sr3  1  0.10781300  0.01424400  0.89816600  1
  Sb  Sb4  1  0.64503000  0.48793800  0.19147800  1
  Sb  Sb5  1  0.35497000  0.98793800  0.30852200  1
  Sb  Sb6  1  0.35497000  0.51206200  0.80852200  1
  Sb  Sb7  1  0.64503000  0.01206200  0.69147800  1
  Se  Se8  1  0.50000000  0.50000000  0.50000000  1
  Se  Se9  1  0.50000000  0.00000000  0.00000000  1
  Se  Se10  1  0.20933800  0.49281000  0.13244600  1
  Se  Se11  1  0.79066200  0.99281000  0.36755400  1
  Se  Se12  1  0.79066200  0.50719000  0.86755400  1
  Se  Se13  1  0.20933800  0.00719000  0.63244600  1
  O  O14  1  0.15242600  0.51159100  0.81253600  1
  O  O15  1  0.84757400  0.01159100  0.68746400  1
  O  O16  1  0.84757400  0.48840900  0.18746400  1
  O  O17  1  0.15242600  0.98840900  0.31253600  1
",O2 Sb2 Se3 Sr2,444.1562896812603,5.141663505540771,5.141663505540771,monoclinic,P2_1/c,14,2018-07-19 01:28:00.969000+00:00,2018-07-19 01:28:00.969000+00:00
23256,mp-15120,0.024891922500001,0.0,"# generated using pymatgen
data_RbFe2Se3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.45381400
_cell_length_b   7.76531454
_cell_length_c   7.76531454
_cell_angle_alpha   102.84080439
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbFe2Se3
_chemical_formula_sum   'Rb2 Fe4 Se6'
_cell_volume   320.64109139
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.75000000  0.66568100  0.33431900  1
  Rb  Rb1  1  0.25000000  0.33431900  0.66568100  1
  Fe  Fe2  1  0.00000000  0.13086500  0.13086500  1
  Fe  Fe3  1  0.50000000  0.86913500  0.86913500  1
  Fe  Fe4  1  0.00000000  0.86913500  0.86913500  1
  Fe  Fe5  1  0.50000000  0.13086500  0.13086500  1
  Se  Se6  1  0.25000000  0.38114000  0.15641100  1
  Se  Se7  1  0.75000000  0.61886000  0.84358900  1
  Se  Se8  1  0.25000000  0.87040800  0.12959200  1
  Se  Se9  1  0.75000000  0.12959200  0.87040800  1
  Se  Se10  1  0.25000000  0.84358900  0.61886000  1
  Se  Se11  1  0.75000000  0.15641100  0.38114000  1
",Fe2 Rb1 Se3,320.6410916366165,4.49559799468808,4.49559799468808,orthorhombic,Cmcm,63,2011-06-02 23:34:10+00:00,2011-06-02 23:34:10+00:00
15998,mp-1190287,0.0566396096875,3.5989,"# generated using pymatgen
data_LiCO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.57190960
_cell_length_b   5.19987100
_cell_length_c   9.13234687
_cell_angle_alpha   90.00000000
_cell_angle_beta   94.63908924
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCO2
_chemical_formula_sum   'Li4 C4 O8'
_cell_volume   169.06367809
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.54778800  0.48700900  0.20904400  1
  Li  Li1  1  0.04778800  0.01299100  0.70904400  1
  Li  Li2  1  0.45221200  0.51299100  0.79095600  1
  Li  Li3  1  0.95221200  0.98700900  0.29095600  1
  C  C4  1  0.39302100  0.63147900  0.49285300  1
  C  C5  1  0.89302100  0.86852100  0.99285300  1
  C  C6  1  0.60697900  0.36852100  0.50714700  1
  C  C7  1  0.10697900  0.13147900  0.00714700  1
  O  O8  1  0.35973400  0.73380600  0.36639100  1
  O  O9  1  0.85973400  0.76619400  0.86639100  1
  O  O10  1  0.64026600  0.26619400  0.63360900  1
  O  O11  1  0.14026600  0.23380600  0.13360900  1
  O  O12  1  0.26920300  0.71898100  0.60869900  1
  O  O13  1  0.76920300  0.78101900  0.10869900  1
  O  O14  1  0.73079700  0.28101900  0.39130100  1
  O  O15  1  0.23079700  0.21898100  0.89130100  1
",C1 Li1 O2,169.06367821532294,2.0017379658155408,2.0017379658155408,monoclinic,P2_1/c,14,2018-07-20 02:47:34.633000+00:00,2018-07-20 02:47:34.633000+00:00
1016,mp-510508,0.0,0.0,"# generated using pymatgen
data_Ba2(IrO3)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.22038261
_cell_length_b   8.22042569
_cell_length_c   8.22041846
_cell_angle_alpha   109.46866139
_cell_angle_beta   109.46877419
_cell_angle_gamma   109.47608903
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2(IrO3)3
_chemical_formula_sum   'Ba4 Ir6 O18'
_cell_volume   427.62108283
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  -0.00000464  -0.00005826  0.37793287  1
  Ba  Ba1  1  0.00001042  0.37797464  0.00005950  1
  Ba  Ba2  1  0.62202850  0.62206698  0.62203360  1
  Ba  Ba3  1  0.37791944  -0.00001397  -0.00003768  1
  Ir  Ir4  1  0.34353512  0.50001123  0.84353318  1
  Ir  Ir5  1  0.84354592  0.34356663  0.49998302  1
  Ir  Ir6  1  0.49997231  0.15640985  0.65644198  1
  Ir  Ir7  1  0.15646494  0.65648019  0.49998071  1
  Ir  Ir8  1  0.49996927  0.84351747  0.34355616  1
  Ir  Ir9  1  0.65649907  0.50001446  0.15650594  1
  O  O10  1  0.35846126  -0.00005700  0.35850270  1
  O  O11  1  0.35857065  0.35854844  0.00005063  1
  O  O12  1  0.00004352  0.64151488  0.64141161  1
  O  O13  1  0.64154672  0.64151229  0.00004296  1
  O  O14  1  0.00005335  0.35862179  0.35852280  1
  O  O15  1  0.64146356  -0.00005968  0.64150076  1
  O  O16  1  0.35917052  0.31000083  0.63813075  1
  O  O17  1  0.04917568  0.32814327  0.68996272  1
  O  O18  1  0.72103565  0.36185655  0.67186544  1
  O  O19  1  0.36181292  0.67186125  0.72099234  1
  O  O20  1  0.27893453  0.95075563  0.64077580  1
  O  O21  1  0.63818582  0.35922962  0.31002345  1
  O  O22  1  0.30997042  0.63816320  0.35920949  1
  O  O23  1  0.68997181  0.04914616  0.32811227  1
  O  O24  1  0.95084661  0.64081765  0.27901093  1
  O  O25  1  0.67186322  0.72101774  0.36186307  1
  O  O26  1  0.64082989  0.27897131  0.95085838  1
  O  O27  1  0.32812152  0.68998484  0.04917363  1
",Ba2 Ir3 O9,427.6210827258474,7.729898912117175,7.729898912117175,cubic,I23,197,2014-02-27 22:12:47+00:00,2014-02-27 22:12:47+00:00
10373,mp-1106250,0.0,0.0,"# generated using pymatgen
data_Gd5Pb3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.19060646
_cell_length_b   9.19059255
_cell_length_c   6.64838489
_cell_angle_alpha   89.99995774
_cell_angle_beta   90.00005953
_cell_angle_gamma   119.99957927
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Gd5Pb3
_chemical_formula_sum   'Gd10 Pb6'
_cell_volume   486.33587795
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.66666578  0.33333310  0.00000089  1
  Gd  Gd1  1  0.33333293  0.66666608  -0.00000018  1
  Gd  Gd2  1  0.33333387  0.66666812  0.49999962  1
  Gd  Gd3  1  0.66666317  0.33333001  0.50000061  1
  Gd  Gd4  1  0.76069665  0.76069843  0.75000002  1
  Gd  Gd5  1  0.23930319  -0.00000035  0.75000004  1
  Gd  Gd6  1  0.00000073  0.23930254  0.74999893  1
  Gd  Gd7  1  0.23930286  0.23930251  0.24999939  1
  Gd  Gd8  1  0.76069765  -0.00000003  0.24999868  1
  Gd  Gd9  1  0.00000164  0.76069854  0.25000146  1
  Pb  Pb10  1  0.39127096  0.39127154  0.75000099  1
  Pb  Pb11  1  0.60873163  0.00000074  0.75000064  1
  Pb  Pb12  1  -0.00000315  0.60872886  0.74999973  1
  Pb  Pb13  1  0.60873327  0.60873161  0.25000001  1
  Pb  Pb14  1  0.39127066  0.99999886  0.24999832  1
  Pb  Pb15  1  -0.00000184  0.39126943  0.25000085  1
",Gd5 Pb3,486.335878025492,9.613890456407916,9.613890456407916,hexagonal,P6_3/mcm,193,2018-07-19 09:52:19.174000+00:00,2018-07-19 09:52:19.174000+00:00
302,mp-1103510,0.041883043571434,0.382099999999999,"# generated using pymatgen
data_Al2HgSe4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.67459256
_cell_length_b   7.67459256
_cell_length_c   7.67459256
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al2HgSe4
_chemical_formula_sum   'Al4 Hg2 Se8'
_cell_volume   319.63254044
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  -0.00000000  0.00000000  0.50000000  1
  Al  Al1  1  -0.00000000  0.50000000  0.00000000  1
  Al  Al2  1  0.50000000  0.00000000  0.00000000  1
  Al  Al3  1  -0.00000000  0.00000000  0.00000000  1
  Hg  Hg4  1  0.37500000  0.37500000  0.37500000  1
  Hg  Hg5  1  0.62500000  0.62500000  0.62500000  1
  Se  Se6  1  0.23582711  0.23582711  0.79251967  1
  Se  Se7  1  0.23582711  0.79251967  0.23582711  1
  Se  Se8  1  0.79251967  0.23582711  0.23582711  1
  Se  Se9  1  0.23582711  0.23582711  0.23582711  1
  Se  Se10  1  0.76417289  0.76417289  0.20748033  1
  Se  Se11  1  0.76417289  0.20748033  0.76417289  1
  Se  Se12  1  0.20748033  0.76417289  0.76417289  1
  Se  Se13  1  0.76417289  0.76417289  0.76417289  1
",Al2 Hg1 Se4,319.6325407989888,5.926555456240316,5.926555456240316,cubic,Fd-3m,227,2018-07-18 18:32:36.848000+00:00,2018-07-18 18:32:36.848000+00:00
3667,mp-11009,0.091599428239794,3.4012,"# generated using pymatgen
data_CaC2(SN)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.00850007
_cell_length_b   6.00850007
_cell_length_c   7.80107249
_cell_angle_alpha   89.39171622
_cell_angle_beta   89.39171622
_cell_angle_gamma   64.17925732
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaC2(SN)2
_chemical_formula_sum   'Ca2 C4 S4 N4'
_cell_volume   253.49688013
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.41178900  0.58821100  0.25000000  1
  Ca  Ca1  1  0.58821100  0.41178900  0.75000000  1
  C  C2  1  0.97722000  0.25679200  0.39772100  1
  C  C3  1  0.25679200  0.97722000  0.89772100  1
  C  C4  1  0.02278000  0.74320800  0.60227900  1
  C  C5  1  0.74320800  0.02278000  0.10227900  1
  S  S6  1  0.25801300  0.13870600  0.32547500  1
  S  S7  1  0.86129400  0.74198700  0.17452500  1
  S  S8  1  0.74198700  0.86129400  0.67452500  1
  S  S9  1  0.13870600  0.25801300  0.82547500  1
  N  N10  1  0.76903600  0.34883400  0.44944900  1
  N  N11  1  0.34883400  0.76903600  0.94944900  1
  N  N12  1  0.65116600  0.23096400  0.05055100  1
  N  N13  1  0.23096400  0.65116600  0.55055100  1
",C2 Ca1 N2 S2,253.49688015288552,2.046946482978248,2.046946482978248,monoclinic,C2/c,15,2011-05-29 15:00:04+00:00,2011-05-29 15:00:04+00:00
8266,mp-20954,0.0,0.0,"# generated using pymatgen
data_DyTiSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.01070368
_cell_length_b   4.01070368
_cell_length_c   7.66861071
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyTiSi
_chemical_formula_sum   'Dy2 Ti2 Si2'
_cell_volume   123.35530878
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.75000000  0.75000000  0.34950771  1
  Dy  Dy1  1  0.25000000  0.25000000  0.65049229  1
  Ti  Ti2  1  0.75000000  0.25000000  -0.00000000  1
  Ti  Ti3  1  0.25000000  0.75000000  -0.00000000  1
  Si  Si4  1  0.75000000  0.75000000  0.76426447  1
  Si  Si5  1  0.25000000  0.25000000  0.23573553  1
",Dy1 Si1 Ti1,123.35530878393776,6.419824103803864,6.419824103803864,tetragonal,P4/nmm,129,2014-02-21 08:24:01+00:00,2014-02-21 08:24:01+00:00
10569,mp-20415,0.0,0.0,"# generated using pymatgen
data_GdPbAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.83895001
_cell_length_b   4.83895019
_cell_length_c   4.83895065
_cell_angle_alpha   60.00000390
_cell_angle_beta   60.00000279
_cell_angle_gamma   59.99999899
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdPbAu
_chemical_formula_sum   'Gd1 Pb1 Au1'
_cell_volume   80.11954988
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.50000000  0.50000000  0.50000000  1
  Pb  Pb1  1  -0.00000000  -0.00000000  0.00000000  1
  Au  Au2  1  0.25000000  0.25000000  0.25000000  1
",Au1 Gd1 Pb1,80.1195499383974,11.63578861189704,11.63578861189704,cubic,F-43m,216,2014-02-21 06:33:27+00:00,2014-02-21 06:33:27+00:00
31236,mp-10266,0.025081435333333,0.0,"# generated using pymatgen
data_ZnFe3C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.77289000
_cell_length_b   3.77289000
_cell_length_c   3.77289000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnFe3C
_chemical_formula_sum   'Zn1 Fe3 C1'
_cell_volume   53.70595333
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00000000  0.00000000  0.00000000  1
  Fe  Fe1  1  0.50000000  0.00000000  0.50000000  1
  Fe  Fe2  1  0.00000000  0.50000000  0.50000000  1
  Fe  Fe3  1  0.50000000  0.50000000  0.00000000  1
  C  C4  1  0.50000000  0.50000000  0.50000000  1
",C1 Fe3 Zn1,53.70595332938856,7.573775796714058,7.573775796714058,cubic,Pm-3m,221,2011-05-28 08:37:54+00:00,2011-05-28 08:37:54+00:00
