formula_structural,predicted_formation_energy
UBr4O9,-2.635547161102295
Ti2SO2,-2.2131264209747314
NaNd2OsO6,-2.1288647651672363
TiMnF5,-1.9877978563308716
Er2BiIO4,-1.9774987697601318
KCdCl2,-1.7206387519836426
K2U(PdS2)3,-1.1438579559326172
Li4Fe5SnO12,-0.9767476916313171
Li2BiCl,-0.9186301827430725
LiTe2Se,-0.6583850383758545
TeSeCl2,-0.636560320854187
CaYb2Ga3Ge2Pt,-0.5436757802963257
Eu3Ge5,-0.5336408615112305
CuPb2Br,-0.46586036682128906
BaSrBiRh,-0.37424302101135254
CrCdBr2,-0.35168468952178955
MnBRu,-0.33035945892333984
Na2AlTe,-0.3121868371963501
Y2SbOs,-0.30896317958831787
Ba(NiP)2,-0.2760070562362671
